Category,Name,URL,Attribution,Description,Owner,Owner URL,Keywords
Social Services,Speedbump,Social-Services/Speedbump/4ef3-nmag,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Daniel.Lewis,http://data.cityofnewyork.us/api/users/477y-gjey,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Glendale Driveway Parking Wars 2014-Now,Social-Services/Glendale-Driveway-Parking-Wars-2014-Now/7qei-3pc5,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,AJVolin,http://data.cityofnewyork.us/api/users/gga6-2a5x,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,AIsaac Complaints,Social-Services/AIsaac-Complaints/fyn9-cqcb,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Amital Isaac,http://data.cityofnewyork.us/api/users/58ce-7f6b,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,311 Requests - 2013,Social-Services/311-Requests-2013/g5yh-xmv9,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Feby George,http://data.cityofnewyork.us/api/users/ncep-dt86,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,311,Social-Services/311/geck-vx3m,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,Evan_Z,http://data.cityofnewyork.us/api/users/px8u-ucx9,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Bronx 311 Complaints,Social-Services/Bronx-311-Complaints/m5kg-63kj,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,TFL Bronx BP,http://data.cityofnewyork.us/api/users/bu2p-phgq,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,169 E Broadway,Social-Services/169-E-Broadway/mgn4-b5wu,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,jmdanoff,http://data.cityofnewyork.us/api/users/iva7-76gq,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,11 Manhattan,Social-Services/11-Manhattan/sfys-v9dq,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,MBPOcuny,http://data.cityofnewyork.us/api/users/34tj-5ksd,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
Social Services,Catfish1,Social-Services/Catfish1/uix2-e6x6,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,MJ2013,http://data.cityofnewyork.us/api/users/g2w5-i3xj,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests"
Social Services,311_noise,Social-Services/311_noise/w2ev-bm47,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,cmydlarz,http://data.cityofnewyork.us/api/users/ggxe-m9im,"big apps, bigapps, 311, 311 service requests, citygovernment, socialservices, 2010, 2011, 2012, service request status, all service requests, clean web"
NYC BigApps,2014 Data,NYC-BigApps/2014-Data/8c9r-ghy3,Police Department (NYPD),Details of Motor Vehicle Collisions in New York City provided by the Police Department (NYPD).,Serena,http://data.cityofnewyork.us/api/users/4rxv-tve7,"nypd, collisions, bigapps, big apps, visionzero, vision, zero"
Education,DOE Building Space Usage,Education/DOE-Building-Space-Usage/wavz-fkw8,School Construction Authority (SCA),"List of DOE buildings schools housed
within the building and with listing of
rooms by size, usage.",NYC OpenData,http://data.cityofnewyork.us/api/users/5fuc-pqz2,"doe, schools, buildings, usage, education, classroom"
Transportation,nyc,Transportation/nyc/i3zd-kefm,Metropolitan Transportation Authority (MTA),Map of NYC Subway Entrances,Monster Leo,http://data.cityofnewyork.us/api/users/n6dk-w4q2,"mta, metropolitan transportation authority, jobs and economic mobility, location, map, cartography, basemap, transit, transportation, train, subway, travel, entrance, station"
Transportation,地鐵,Transportation/-/r64t-6r4d,Metropolitan Transportation Authority (MTA),Map of NYC Subway Entrances,bunnm00,http://data.cityofnewyork.us/api/users/u9qz-7dmy,
Environment,adfa,Environment/adfa/fyrf-5fb3,Mayor's Office of Long-Term Planning and Sustainability (OLTPS),"2010 Natural Gas consumption in therms and GJ, by ZIP code, building type, and utility company.",angiet920,http://data.cityofnewyork.us/api/users/usei-da5v,"energy, gas, power, environment, utilities, planning"
Environment,CoolRoofs1,Environment/CoolRoofs1/jt4n-3mh9,Department of Buildings (DOB),"Locations of buildings participating in the Cool Roofs initiative.  NYC Cool Roofs buildings have a reflective surface applied to their rooftop, helping to reduce cooling costs, cut energy usage and lower greenhouse gas emissions.",aaron,http://data.cityofnewyork.us/api/users/6fq4-i293,"nyc cool roofs buildings, dob, environment, cooling, greenhouse gas, reflective, clean web"
Housing & Development,CB #7 Public Housing Developments,Housing-Development/CB-7-Public-Housing-Developments/vnq5-qsyp,New York City Housing Authority (NYCHA),It contain the latest shape files for the NYCHA developments as of July 2011.,Kelley Williams,http://data.cityofnewyork.us/api/users/kpr2-ibbk,
Business,downtownBrooklyn,Business/downtownBrooklyn/7895-ud4x,Fulton Mall Improvement Association,Listing of businesses in the Fulton Mall Improvement Association,Mikaila,http://data.cityofnewyork.us/api/users/pn79-4fcv,"brooklyn, fulton street, mall, business list, directory"
Education,Schools and graduation rates,Education/Schools-and-graduation-rates/djcm-s79n,Department of Education (DOE),Latest available data and trends in graduation and dropout outcomes by school.,Erin Johnson,http://data.cityofnewyork.us/api/users/sx29-mf5m,"graduation outcome, school, total cohort, lifelong learning"
City Government,2007,City-Government/2007/cfqb-uwad,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",citydev2,http://data.cityofnewyork.us/api/users/uvem-8x2h,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
City Government,wertberger,City-Government/wertberger/cimw-zg6r,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",berk,http://data.cityofnewyork.us/api/users/vkb2-chu2,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
City Government,2001,City-Government/2001/mnit-s7e5,Office of Administrative Trials and Hearings (OATH),"The Environmental Control Board Notice of Violations dataset contains information about violations that are being adjudicated through the court and provides information about the infraction decision and dismissal reason, payments, amounts and fees relating to the violation",citydev2,http://data.cityofnewyork.us/api/users/uvem-8x2h,"oath, moda, ecb violations, violations, charges, environmental control board, tribunal, alj, administrative law judge, ticket, ticket finder, quality of life, business integrity commission, bic, department of buildings, dob, department of consumer affairs, dca, department of environmental protection, dep, fire department, fdny, department of health and mental hygiene, dohmh, department of information technology and telecommunications, doitt, landmarks preservation commission, lpc, department of parks and recreation, dpr, police department, nypd, department of sanitation, dsny, department of small business services, sbs, department of transportation, dot"
Social Services,modifiednoise,Social-Services/modifiednoise/a7hj-s5px,311,All 311 Service Requests from 2010 to present. This information is automatically updated daily.,soum,http://data.cityofnewyork.us/api/users/xic2-d3ga,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests, clean web"
